task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4449	7c/edae08	777325	InvokePreparePlotData (4448)	COMPLETED	0	2025-02-07 21:00:16.240	29m 42s	29m	94.8%	551.3 MB	935.4 MB	613.1 MB	52 KB
4488	93/1f0d5f	777405	InvokePreparePlotData (4487)	COMPLETED	0	2025-02-07 21:00:28.105	29m 30s	26m 18s	96.0%	656.2 MB	1 GB	1.4 GB	70 KB
2772	49/2a6fbc	778069	InvokePreparePlotData (2771)	COMPLETED	0	2025-02-07 21:02:14.089	27m 44s	27m 41s	95.8%	498.4 MB	862.4 MB	344 MB	40.2 KB
2965	55/0abf74	778208	InvokePreparePlotData (2964)	COMPLETED	0	2025-02-07 21:02:36.249	27m 22s	26m 32s	95.2%	429.8 MB	834.1 MB	1 GB	40.8 KB
2995	fd/a73094	778249	InvokePreparePlotData (2994)	COMPLETED	0	2025-02-07 21:02:41.478	27m 17s	26m	95.7%	470.9 MB	812 MB	1.2 GB	42.3 KB
3015	46/45cf5f	778301	InvokePreparePlotData (3014)	COMPLETED	0	2025-02-07 21:02:48.197	27m 10s	25m 58s	95.8%	525.3 MB	882.8 MB	7.7 GB	25.7 KB
3655	55/94b204	778770	InvokePreparePlotData (3654)	COMPLETED	0	2025-02-07 21:04:06.673	25m 52s	25m 10s	93.7%	445.3 MB	813.6 MB	648.6 MB	31.7 KB
3830	91/86ea5f	778865	InvokePreparePlotData (3829)	COMPLETED	0	2025-02-07 21:04:23.295	25m 35s	25m 14s	92.7%	445.1 MB	820.2 MB	4.6 GB	21.2 KB
4297	cc/ffd74f	779128	InvokePreparePlotData (4296)	COMPLETED	0	2025-02-07 21:05:18.920	24m 40s	23m 42s	93.6%	464.3 MB	807 MB	460.4 MB	39.3 KB
2898	04/efd467	779681	InvokePreparePlotData (2897)	COMPLETED	0	2025-02-07 21:07:23.087	22m 36s	21m 53s	93.8%	437.1 MB	794 MB	901.3 MB	31.5 KB
3076	ac/8b38ff	779760	InvokePreparePlotData (3075)	COMPLETED	0	2025-02-07 21:07:36.937	22m 22s	19m 57s	96.0%	516.2 MB	895.9 MB	1.4 GB	74 KB
3315	43/cacd67	779791	InvokePreparePlotData (3314)	COMPLETED	0	2025-02-07 21:07:45.289	22m 13s	20m 51s	94.1%	434.2 MB	810.9 MB	786.2 MB	29.9 KB
3980	ba/bc6e6b	780044	InvokePreparePlotData (3979)	COMPLETED	0	2025-02-07 21:08:40.318	21m 18s	20m 42s	93.0%	439.3 MB	822.4 MB	3.9 GB	35.8 KB
4586	b9/2ab595	780177	InvokePreparePlotData (4585)	COMPLETED	0	2025-02-07 21:09:04.264	20m 54s	19m 52s	94.2%	457.4 MB	806.8 MB	1.6 GB	19 KB
2629	32/c3714d	780312	InvokePreparePlotData (2628)	COMPLETED	0	2025-02-07 21:09:36.628	20m 22s	19m 1s	92.7%	427.2 MB	779.2 MB	4.3 GB	31.5 KB
2678	0f/9c1d6c	780377	InvokePreparePlotData (2677)	COMPLETED	0	2025-02-07 21:09:50.284	20m 8s	17m 37s	94.0%	413.3 MB	764.6 MB	9.5 GB	23.1 KB
3528	c8/7f61f7	780522	InvokePreparePlotData (3527)	COMPLETED	0	2025-02-07 21:10:28.843	19m 30s	18m 24s	95.2%	467.6 MB	843.7 MB	3.2 GB	36.9 KB
4718	8c/dc94f2	780636	InvokePreparePlotData (4717)	COMPLETED	0	2025-02-07 21:11:12.099	18m 47s	17m 34s	93.1%	459.1 MB	801.3 MB	1.7 GB	32.7 KB
4730	02/3ee624	780670	InvokePreparePlotData (4729)	COMPLETED	0	2025-02-07 21:11:17.873	18m 41s	15m 37s	89.6%	434.6 MB	773.9 MB	3.6 GB	11.6 KB
4745	17/4921e3	780678	InvokePreparePlotData (4744)	COMPLETED	0	2025-02-07 21:11:19.199	18m 40s	16m 29s	93.6%	461.5 MB	803.3 MB	1.3 GB	48 KB
3534	26/b49f0b	780904	InvokePreparePlotData (3533)	COMPLETED	0	2025-02-07 21:12:08.595	17m 50s	16m 24s	94.1%	521.8 MB	876.7 MB	1.4 GB	38 KB
3538	f3/8f0d0c	780911	InvokePreparePlotData (3537)	COMPLETED	0	2025-02-07 21:12:10.121	17m 49s	17m 34s	93.4%	453.4 MB	840.6 MB	466.9 MB	33.8 KB
2690	4c/72ef31	781291	InvokePreparePlotData (2689)	COMPLETED	0	2025-02-07 21:13:29.137	16m 30s	15m 21s	93.0%	433.7 MB	775.5 MB	1.7 GB	16.4 KB
25	e6/572aa1	766669	InvokePreparePlotData (24)	COMPLETED	0	2025-02-07 20:27:10.904	1h 3m 17s	1h 1m 31s	96.8%	629.6 MB	1 GB	1.4 GB	281.2 KB
3841	f0/90b77a	780943	InvokePreparePlotData (3840)	COMPLETED	0	2025-02-07 21:12:16.350	18m 12s	16m 40s	94.7%	460.4 MB	834.8 MB	552.1 MB	62.6 KB
2698	a7/db7816	781311	InvokePreparePlotData (2697)	COMPLETED	0	2025-02-07 21:13:32.249	16m 56s	16m 22s	92.7%	422.9 MB	767.9 MB	10.1 GB	17.9 KB
2707	c7/39a8cf	781335	InvokePreparePlotData (2706)	COMPLETED	0	2025-02-07 21:13:36.115	17m 7s	15m 41s	93.1%	459.7 MB	803.2 MB	1 GB	23.9 KB
362	08/883428	767429	InvokePreparePlotData (361)	COMPLETED	0	2025-02-07 20:29:05.552	1h 1m 52s	1h 43s	96.8%	634.2 MB	1 GB	2 GB	75.9 KB
448	34/c9b199	767623	InvokePreparePlotData (447)	COMPLETED	0	2025-02-07 20:29:34.891	1h 1m 23s	1h 21s	96.5%	662.9 MB	1 GB	869.9 MB	75.5 KB
460	f1/fdde0f	767649	InvokePreparePlotData (459)	COMPLETED	0	2025-02-07 20:29:39.323	1h 1m 19s	1h 27s	99.0%	781.4 MB	1.1 GB	10.5 GB	75.3 KB
550	82/047b47	767849	InvokePreparePlotData (549)	COMPLETED	0	2025-02-07 20:30:11.943	1h 46s	59m 58s	96.3%	533.8 MB	873.6 MB	1.8 GB	33.4 KB
589	21/644bf9	767947	InvokePreparePlotData (588)	COMPLETED	0	2025-02-07 20:30:31.001	1h 27s	59m	96.9%	655.9 MB	1022 MB	1.1 GB	106.8 KB
600	48/0fdfce	767972	InvokePreparePlotData (599)	COMPLETED	0	2025-02-07 20:30:35.236	1h 23s	59m 11s	96.2%	598 MB	1003.1 MB	829.8 MB	80.8 KB
678	d1/d5430f	768147	InvokePreparePlotData (677)	COMPLETED	0	2025-02-07 20:31:04.116	59m 54s	59m 5s	97.4%	566 MB	938.8 MB	1.5 GB	108.5 KB
710	df/c4a202	768212	InvokePreparePlotData (709)	COMPLETED	0	2025-02-07 20:31:15.441	59m 43s	59m 31s	96.4%	598.9 MB	965.2 MB	1.8 GB	61.8 KB
999	8f/672354	768921	InvokePreparePlotData (998)	COMPLETED	0	2025-02-07 20:33:05.008	57m 53s	57m 7s	97.5%	595.3 MB	997.4 MB	977.3 MB	126.1 KB
1444	7e/842298	769942	InvokePreparePlotData (1443)	COMPLETED	0	2025-02-07 20:35:55.124	55m 3s	53m 28s	96.9%	537 MB	937.8 MB	2 GB	91.3 KB
2007	d9/20fb1d	771288	InvokePreparePlotData (2006)	COMPLETED	0	2025-02-07 20:39:39.514	51m 19s	50m 46s	95.2%	530.4 MB	930.7 MB	1.2 GB	105.3 KB
2124	7a/1ac4ff	771602	InvokePreparePlotData (2123)	COMPLETED	0	2025-02-07 20:40:33.545	50m 25s	49m 27s	98.8%	751.5 MB	1.1 GB	1.6 GB	84.6 KB
2157	bf/7e8593	771696	InvokePreparePlotData (2156)	COMPLETED	0	2025-02-07 20:40:51.276	50m 7s	48m 58s	95.6%	501.6 MB	842.5 MB	406 MB	29.2 KB
2346	a6/0fe4dd	772192	InvokePreparePlotData (2345)	COMPLETED	0	2025-02-07 20:42:20.928	48m 37s	47m 50s	96.4%	795.5 MB	1.2 GB	1.7 GB	64.3 KB
4380	c1/b5c802	774921	InvokePreparePlotData (4379)	COMPLETED	0	2025-02-07 20:51:46.906	39m 11s	38m	96.2%	557.7 MB	954.7 MB	2.5 GB	57.8 KB
2972	17/7370be	776125	InvokePreparePlotData (2971)	COMPLETED	0	2025-02-07 20:56:01.921	34m 56s	32m 30s	96.6%	693.7 MB	1.1 GB	3.7 GB	75.7 KB
3302	7f/06d55d	776419	InvokePreparePlotData (3301)	COMPLETED	0	2025-02-07 20:57:00.946	33m 57s	32m 40s	95.9%	568.5 MB	926.8 MB	1.5 GB	46.1 KB
3739	53/aeac9b	776708	InvokePreparePlotData (3738)	COMPLETED	0	2025-02-07 20:58:04.857	32m 53s	31m 51s	96.6%	522.7 MB	874 MB	3.7 GB	46.6 KB
3020	21/6d2839	778319	InvokePreparePlotData (3019)	COMPLETED	0	2025-02-07 21:02:50.388	28m 8s	27m 6s	95.8%	526.3 MB	882.5 MB	1.8 GB	92.5 KB
4015	fc/38ef7e	778966	InvokePreparePlotData (4014)	COMPLETED	0	2025-02-07 21:04:48.483	26m 10s	25m 4s	95.7%	515.6 MB	890.5 MB	799.2 MB	39.1 KB
2881	45/28f63a	779637	InvokePreparePlotData (2880)	COMPLETED	0	2025-02-07 21:07:14.198	23m 44s	22m 47s	96.7%	693.3 MB	1.1 GB	430.1 MB	93 KB
3322	6f/c827f7	779812	InvokePreparePlotData (3321)	COMPLETED	0	2025-02-07 21:07:49.350	23m 9s	22m 18s	93.4%	430.7 MB	835.4 MB	8.3 GB	26.4 KB
3986	7b/c4ec3b	780056	InvokePreparePlotData (3985)	COMPLETED	0	2025-02-07 21:08:42.452	22m 16s	21m 43s	92.3%	409.8 MB	750.1 MB	4.7 GB	15.8 KB
2710	d0/ddc5e4	780414	InvokePreparePlotData (2709)	COMPLETED	0	2025-02-07 21:09:59.385	20m 59s	19m 29s	95.2%	452.8 MB	839.1 MB	560.7 MB	46.5 KB
4726	dc/151355	780660	InvokePreparePlotData (4725)	COMPLETED	0	2025-02-07 21:11:16.026	19m 42s	18m 39s	94.9%	547.8 MB	888.1 MB	1.4 GB	40.4 KB
4750	e0/bf67ab	780682	InvokePreparePlotData (4749)	COMPLETED	0	2025-02-07 21:11:20.029	19m 38s	18m 12s	94.8%	518 MB	885.3 MB	1.5 GB	37.2 KB
3485	b1/83dce6	780850	InvokePreparePlotData (3484)	COMPLETED	0	2025-02-07 21:11:59.020	18m 59s	18m 27s	96.0%	518.5 MB	860.7 MB	1.3 GB	88.1 KB
